070322|A50CHIN-C22|0.195|0.210|0.215|+0.020|+10.26|500
070324|A50CHIN-C24|0.840|0.855|0.815|-0.025|-2.98|400
070326|A50CHIN-C26|0.495|0.495|0.495|0.000|0.00|300
070328|A50CHIN-C28|0.250|0.265|0.250|0.000|0.00|4,802
070330|A50CHIN-C30|0.345|0.365|0.340|-0.005|-1.45|21,049
070332|A50CHIN-C32|0.720|0.000|0.000|0.000|0.00|0
070334|A50CHIN-C34|1.010|0.000|0.000|0.000|0.00|0
070336|A50CHIN-C36|0.550|0.585|0.565|+0.015|+2.73|5,724
070338|A50CHIN-C38|0.240|0.260|0.235|-0.005|-2.08|240,463
070321|A50CHIN-H21|0.050|0.000|0.000|0.000|0.00|0
070323|A50CHIN-H23|0.005|0.000|0.000|0.000|0.00|0
070325|A50CHIN-H25|0.035|0.000|0.000|0.000|0.00|0
070327|A50CHIN-H27|0.065|0.065|0.070|+0.005|+7.69|9,809
070329|A50CHIN-H29|0.370|0.360|0.375|+0.005|+1.35|255,400
7054|AASIA|0.160|0.000|0.000|0.000|0.00|0
5238|AAX|0.255|0.255|0.250|-0.005|-1.96|35,197
523820|AAX-C20|0.005|0.000|0.000|0.000|0.00|0
523821|AAX-C21|0.005|0.000|0.000|0.000|0.00|0
5238WA|AAX-WA|0.055|0.050|0.050|-0.005|-9.09|8,408
0800EA|ABFMY1|1.173|0.000|0.000|0.000|0.00|0
7086|ABLEGRP|0.075|0.070|0.070|-0.005|-6.67|190
2488|ABMB|4.220|4.230|4.200|-0.020|-0.47|1,707
2488CY|ABMB-CY|0.100|0.000|0.000|0.000|0.00|0
7131|ACME|0.250|0.000|0.000|0.000|0.00|0
7120|ACOSTEC|0.425|0.425|0.430|+0.005|+1.18|7,741
5281|ADVCON|0.415|0.415|0.420|+0.005|+1.20|10,503
7191|ADVENTA|0.355|0.350|0.350|-0.005|-1.41|30
9148|ADVPKG|1.810|0.000|0.000|0.000|0.00|0
7146|AEM|0.110|0.000|0.000|0.000|0.00|0
7146WA|AEM-WA|0.005|0.005|0.005|0.000|0.00|2
0181|AEMULUS|0.255|0.260|0.255|0.000|0.00|5,143
6599|AEON|1.540|1.540|1.540|0.000|0.00|9,097
6599CO|AEON-CO|0.040|0.035|0.035|-0.005|-12.50|922
6599CP|AEON-CP|0.050|0.000|0.000|0.000|0.00|0
6599CQ|AEON-CQ|0.030|0.000|0.000|0.000|0.00|0
5139|AEONCR|17.180|17.180|17.100|-0.080|-0.47|1,351
5139LA|AEONCR-LA|1.520|1.530|1.560|+0.040|+2.63|100
5185|AFFIN|2.270|2.250|2.240|-0.030|-1.32|816
5198|AFUJIYA|0.525|0.505|0.505|-0.020|-3.81|70
7315|AHB|0.140|0.140|0.135|-0.005|-3.57|4,157
7315WB|AHB-WB|0.010|0.010|0.010|0.000|0.00|12,430
7090|AHEALTH|9.110|9.110|9.200|+0.090|+0.99|85
4952|AHP|0.780|0.780|0.760|-0.020|-2.56|180
0122|AIM|0.240|0.250|0.250|+0.010|+4.17|135
5099|AIRASIA|2.790|2.800|2.770|-0.020|-0.72|40,498
509959|AIRASIAC59|0.020|0.000|0.000|0.000|0.00|0
509967|AIRASIAC67|0.105|0.105|0.095|-0.010|-9.52|2,830
509968|AIRASIAC68|0.005|0.000|0.000|0.000|0.00|0
509969|AIRASIAC69|0.010|0.005|0.005|-0.005|-50.00|5,000
509970|AIRASIAC70|0.010|0.000|0.000|0.000|0.00|0
509971|AIRASIAC71|0.080|0.080|0.080|0.000|0.00|400
509972|AIRASIAC72|0.210|0.190|0.190|-0.020|-9.52|200
509973|AIRASIAC73|0.215|0.220|0.205|-0.010|-4.65|1,200
509974|AIRASIAC74|0.340|0.000|0.000|0.000|0.00|0
509975|AIRASIAC75|0.145|0.000|0.000|0.000|0.00|0
509976|AIRASIAC76|0.070|0.000|0.000|0.000|0.00|0
509977|AIRASIAC77|0.075|0.080|0.075|0.000|0.00|24,500
509978|AIRASIAC78|0.105|0.105|0.105|0.000|0.00|5,000
509979|AIRASIAC79|0.055|0.050|0.050|-0.005|-9.09|5,521
509980|AIRASIAC80|0.050|0.050|0.050|0.000|0.00|8,000
5014|AIRPORT|7.700|7.660|7.650|-0.050|-0.65|28,728
5014C2|AIRPORT-C2|0.005|0.000|0.000|0.000|0.00|0
5014C4|AIRPORT-C4|0.035|0.035|0.035|0.000|0.00|100
5014C5|AIRPORT-C5|0.055|0.000|0.000|0.000|0.00|0
5014C6|AIRPORT-C6|0.120|0.000|0.000|0.000|0.00|0
5014C7|AIRPORT-C7|0.080|0.075|0.080|0.000|0.00|5,900
2682|AISB|0.255|0.000|0.000|0.000|0.00|0
2658|AJI|18.180|18.180|18.140|-0.040|-0.22|124
7609|AJIYA|0.540|0.540|0.540|0.000|0.00|404
7609WA|AJIYA-WA|0.095|0.095|0.095|0.000|0.00|380
5115|ALAM|0.115|0.115|0.120|+0.005|+4.35|46,956
5116|ALAQAR|1.350|1.350|1.340|-0.010|-0.74|457
2674|ALCOM|0.540|0.540|0.550|+0.010|+1.85|1,487
1163|ALLIANZ|14.400|14.520|14.480|+0.080|+0.56|1,143
1163PA|ALLIANZ-PA|14.300|0.000|0.000|0.000|0.00|0
5269|ALSREIT|0.845|0.850|0.850|+0.005|+0.59|241
1015|AMBANK|4.610|4.620|4.470|-0.140|-3.04|26,056
101510|AMBANK-C10|0.180|0.155|0.150|-0.030|-16.67|1,400
101511|AMBANK-C11|0.165|0.000|0.000|0.000|0.00|0
101512|AMBANK-C12|0.140|0.000|0.000|0.000|0.00|0
101513|AMBANK-C13|0.100|0.095|0.095|-0.005|-5.00|100
0159|AMEDIA|0.155|0.150|0.150|-0.005|-3.23|757
5120|AMFIRST|0.535|0.535|0.530|-0.005|-0.93|939
03011|AMLEX|0.180|0.000|0.000|0.000|0.00|0
1007|AMPROP|0.515|0.520|0.515|0.000|0.00|368
1007PA|AMPROP-PA|0.250|0.250|0.250|0.000|0.00|133
1007PB|AMPROP-PB|0.580|0.000|0.000|0.000|0.00|0
7031|AMTEL|0.665|0.680|0.665|0.000|0.00|20
5959|AMVERTON|1.240|1.240|1.230|-0.010|-0.81|392
6351|AMWAY|5.960|5.980|5.920|-0.040|-0.67|1,591
7083|ANALABS|1.130|1.180|1.180|+0.050|+4.42|1
