070322|A50CHIN-C22|0.055|0.000|0.000|0.000|0.00|0
070324|A50CHIN-C24|0.815|0.000|0.000|0.000|0.00|0
070326|A50CHIN-C26|0.495|0.000|0.000|0.000|0.00|0
070328|A50CHIN-C28|0.210|0.220|0.270|+0.060|+28.57|41,495
070330|A50CHIN-C30|0.265|0.275|0.365|+0.100|+37.74|39,333
070332|A50CHIN-C32|0.720|0.790|0.820|+0.100|+13.89|119
070334|A50CHIN-C34|0.895|0.980|0.985|+0.090|+10.06|40
070336|A50CHIN-C36|0.480|0.500|0.595|+0.115|+23.96|71,536
070338|A50CHIN-C38|0.185|0.195|0.250|+0.065|+35.14|171,562
070321|A50CHIN-H21|0.050|0.000|0.000|0.000|0.00|0
070323|A50CHIN-H23|0.005|0.000|0.000|0.000|0.00|0
070325|A50CHIN-H25|0.035|0.000|0.000|0.000|0.00|0
070327|A50CHIN-H27|0.075|0.060|0.060|-0.015|-20.00|776
070329|A50CHIN-H29|0.420|0.405|0.345|-0.075|-17.86|222,042
7054|AASIA|0.160|0.150|0.150|-0.010|-6.25|33
5238|AAX|0.245|0.245|0.245|0.000|0.00|192,336
523821|AAX-C21|0.005|0.000|0.000|0.000|0.00|0
5238WA|AAX-WA|0.050|0.045|0.045|-0.005|-10.00|29,882
0800EA|ABFMY1|1.179|0.000|0.000|0.000|0.00|0
7086|ABLEGRP|0.070|0.070|0.070|0.000|0.00|978
2488|ABMB|4.040|4.060|4.090|+0.050|+1.24|14,050
2488CY|ABMB-CY|0.100|0.000|0.000|0.000|0.00|0
7131|ACME|0.250|0.000|0.000|0.000|0.00|0
7120|ACOSTEC|0.425|0.420|0.420|-0.005|-1.18|14,533
5281|ADVCON|0.410|0.420|0.425|+0.015|+3.66|9,792
7191|ADVENTA|0.355|0.355|0.355|0.000|0.00|90
9148|ADVPKG|1.850|1.850|1.840|-0.010|-0.54|70
7146|AEM|0.105|0.105|0.105|0.000|0.00|200
7146WA|AEM-WA|0.005|0.005|0.005|0.000|0.00|5,500
0181|AEMULUS|0.240|0.240|0.240|0.000|0.00|2,345
6599|AEON|1.520|1.500|1.470|-0.050|-3.29|4,559
6599CO|AEON-CO|0.035|0.035|0.035|0.000|0.00|500
6599CP|AEON-CP|0.050|0.000|0.000|0.000|0.00|0
6599CQ|AEON-CQ|0.030|0.000|0.000|0.000|0.00|0
5139|AEONCR|16.800|16.800|16.800|0.000|0.00|3,128
5139LA|AEONCR-LA|1.540|0.000|0.000|0.000|0.00|0
5185|AFFIN|2.190|2.200|2.200|+0.010|+0.46|469
5198|AFUJIYA|0.520|0.000|0.000|0.000|0.00|0
7315|AHB|0.145|0.140|0.150|+0.005|+3.45|10,309
7315WB|AHB-WB|0.010|0.015|0.020|+0.010|+100.00|9,663
7090|AHEALTH|8.870|8.880|8.870|0.000|0.00|142
4952|AHP|0.770|0.770|0.770|0.000|0.00|98
0122|AIM|0.250|0.000|0.000|0.000|0.00|0
5099|AIRASIA|2.700|2.710|2.660|-0.040|-1.48|139,001
509959|AIRASIAC59|0.020|0.000|0.000|0.000|0.00|0
509967|AIRASIAC67|0.075|0.070|0.060|-0.015|-20.00|12,710
509968|AIRASIAC68|0.005|0.000|0.000|0.000|0.00|0
509969|AIRASIAC69|0.005|0.000|0.000|0.000|0.00|0
509970|AIRASIAC70|0.005|0.000|0.000|0.000|0.00|0
509971|AIRASIAC71|0.060|0.055|0.055|-0.005|-8.33|13,364
509972|AIRASIAC72|0.165|0.160|0.150|-0.015|-9.09|16,026
509973|AIRASIAC73|0.185|0.000|0.000|0.000|0.00|0
509974|AIRASIAC74|0.305|0.300|0.295|-0.010|-3.28|200
509975|AIRASIAC75|0.115|0.110|0.110|-0.005|-4.35|1,912
509976|AIRASIAC76|0.070|0.055|0.055|-0.015|-21.43|2,500
509977|AIRASIAC77|0.065|0.065|0.055|-0.010|-15.38|100,345
509978|AIRASIAC78|0.090|0.085|0.080|-0.010|-11.11|14,600
509979|AIRASIAC79|0.040|0.035|0.035|-0.005|-12.50|10,147
509980|AIRASIAC80|0.050|0.000|0.000|0.000|0.00|0
5014|AIRPORT|7.270|7.270|7.240|-0.030|-0.41|36,477
5014C4|AIRPORT-C4|0.025|0.025|0.025|0.000|0.00|1,000
5014C5|AIRPORT-C5|0.030|0.000|0.000|0.000|0.00|0
5014C6|AIRPORT-C6|0.075|0.000|0.000|0.000|0.00|0
5014C7|AIRPORT-C7|0.055|0.050|0.050|-0.005|-9.09|5
5014C8|AIRPORT-C8|0.150|0.095|0.105|-0.045|-30.00|23,988
2682|AISB|0.295|0.260|0.260|-0.035|-11.86|10
2658|AJI|18.000|18.000|18.000|0.000|0.00|95
7609|AJIYA|0.530|0.530|0.535|+0.005|+0.94|370
7609WA|AJIYA-WA|0.100|0.000|0.000|0.000|0.00|0
5115|ALAM|0.110|0.110|0.115|+0.005|+4.55|20,064
5115WA|ALAM-WA|0.005|0.040|0.035|+0.030|+600.00|169,207
5116|ALAQAR|1.370|1.370|1.370|0.000|0.00|6,690
2674|ALCOM|0.550|0.540|0.530|-0.020|-3.64|659
1163|ALLIANZ|14.500|14.500|14.500|0.000|0.00|15
1163PA|ALLIANZ-PA|14.300|0.000|0.000|0.000|0.00|0
5269|ALSREIT|0.845|0.860|0.845|0.000|0.00|88
1015|AMBANK|4.530|4.530|4.560|+0.030|+0.66|46,678
101510|AMBANK-C10|0.175|0.160|0.165|-0.010|-5.71|4
101511|AMBANK-C11|0.165|0.000|0.000|0.000|0.00|0
101512|AMBANK-C12|0.130|0.000|0.000|0.000|0.00|0
101513|AMBANK-C13|0.085|0.085|0.085|0.000|0.00|5,156
0159|AMEDIA|0.155|0.000|0.000|0.000|0.00|0
5120|AMFIRST|0.530|0.530|0.535|+0.005|+0.94|618
03011|AMLEX|0.200|0.000|0.000|0.000|0.00|0
1007|AMPROP|0.530|0.520|0.535|+0.005|+0.94|533
1007PA|AMPROP-PA|0.265|0.260|0.260|-0.005|-1.89|48
1007PB|AMPROP-PB|0.580|0.000|0.000|0.000|0.00|0
7031|AMTEL|0.665|0.000|0.000|0.000|0.00|0
5959|AMVERTON|1.250|1.240|1.240|-0.010|-0.80|3,683
6351|AMWAY|6.000|6.000|5.950|-0.050|-0.83|105
7083|ANALABS|1.100|1.090|1.090|-0.010|-0.91|30
4758|ANCOM|0.480|0.475|0.485|+0.005|+1.04|2
0048|ANCOMLB|0.080|0.000|0.000|0.000|0.00|0
6556|ANNJOO|1.560|1.570|1.570|+0.010|+0.64|4,721
6556PA|ANNJOO-PA|0.550|0.000|0.000|0.000|0.00|0
9342|ANZO|0.040|0.035|0.040|0.000|0.00|1,812
9342WA|ANZO-WA|0.005|0.000|0.000|0.000|0.00|0
9342WB|ANZO-WB|0.025|0.000|0.000|0.000|0.00|0
9342WC|ANZO-WC|0.005|0.000|0.000|0.000|0.00|0
5568|APB|0.650|0.000|0.000|0.000|0.00|0
5088|APEX|1.050|0.000|0.000|0.000|0.00|0
5194|APFT|0.015|0.015|0.015|0.000|0.00|120,600
5015|APM|3.000|2.950|3.000|0.000|0.00|253
6432|APOLLO|3.950|3.960|3.920|-0.030|-0.76|150
0119|APPASIA|0.090|0.080|0.095|+0.005|+5.56|2,184
0119WA|APPASIA-WA|0.035|0.035|0.040|+0.005|+14.29|501
7214|ARANK|0.525|0.520|0.520|-0.005|-0.95|368
7007|ARK|0.360|0.000|0.000|0.000|0.00|0
7007WB|ARK-WB|0.090|0.000|0.000|0.000|0.00|0
5210|ARMADA|0.190|0.185|0.190|0.000|0.00|359,553
521040|ARMADA-C40|0.005|0.000|0.000|0.000|0.00|0
521043|ARMADA-C43|0.005|0.000|0.000|0.000|0.00|0
521045|ARMADA-C45|0.005|0.000|0.000|0.000|0.00|0
521046|ARMADA-C46|0.005|0.000|0.000|0.000|0.00|0
521047|ARMADA-C47|0.005|0.000|0.000|0.000|0.00|0
521048|ARMADA-C48|0.005|0.000|0.000|0.000|0.00|0
521049|ARMADA-C49|0.005|0.000|0.000|0.000|0.00|0
521050|ARMADA-C50|0.015|0.000|0.000|0.000|0.00|0
5127|ARREIT|0.840|0.840|0.840|0.000|0.00|159
1481|ASB|0.140|0.135|0.140|0.000|0.00|13,338
0068|ASDION|0.275|0.275|0.280|+0.005|+1.82|50,829
7722|ASIABRN|0.480|0.000|0.000|0.000|0.00|0
7129|ASIAFLE|2.490|2.540|2.550|+0.060|+2.41|98
4057|ASIAPAC|0.115|0.115|0.125|+0.010|+8.70|871
4057LC|ASIAPAC-LC|0.580|0.000|0.000|0.000|0.00|0
4057WB|ASIAPAC-WB|0.045|0.000|0.000|0.000|0.00|0
0105|ASIAPLY|0.075|0.070|0.075|0.000|0.00|1,501
0105PA|ASIAPLY-PA|0.035|0.035|0.035|0.000|0.00|2,500
0105WA|ASIAPLY-WA|0.015|0.000|0.000|0.000|0.00|0
0105WB|ASIAPLY-WB|0.025|0.000|0.000|0.000|0.00|0
7162|ASTINO|0.670|0.000|0.000|0.000|0.00|0
6399|ASTRO|1.530|1.520|1.530|0.000|0.00|37,648
639910|ASTRO-C10|0.085|0.100|0.100|+0.015|+17.65|6,700
639911|ASTRO-C11|0.110|0.090|0.095|-0.015|-13.64|2,254
639912|ASTRO-C12|0.065|0.070|0.075|+0.010|+15.38|4,000
639913|ASTRO-C13|0.065|0.065|0.070|+0.005|+7.69|8,000
639914|ASTRO-C14|0.065|0.000|0.000|0.000|0.00|0
0072|AT|0.050|0.050|0.055|+0.005|+10.00|18,839
0072WB|AT-WB|0.005|0.000|0.000|0.000|0.00|0
8176|ATAIMS|1.710|1.720|1.710|0.000|0.00|3,629
7048|ATLAN|4.490|4.480|4.500|+0.010|+0.22|50
5130|ATRIUM|1.110|1.120|1.110|0.000|0.00|632
7099|ATTA|0.600|0.000|0.000|0.000|0.00|0
7099LA|ATTA-LA|0.075|0.075|0.075|0.000|0.00|800
7099PA|ATTA-PA|0.120|0.000|0.000|0.000|0.00|0
7099WB|ATTA-WB|0.110|0.000|0.000|0.000|0.00|0
7099WC|ATTA-WC|0.090|0.000|0.000|0.000|0.00|0
7181|ATURMJU|0.370|0.365|0.360|-0.010|-2.70|15,489
7181PA|ATURMJU-PA|0.185|0.185|0.180|-0.005|-2.70|9,065
8885|AVI|0.135|0.135|0.130|-0.005|-3.70|10,641
7579|AWC|0.770|0.770|0.775|+0.005|+0.65|5,647
